cosa;PQ;è;VA;definita;V;2
è;VA;definita;V;una;RI;2
una;RI;relazione;S;definita;V;2
relazione;S;definita;V;dal;E+RD;2
definita;V;dal;E+RD;suo;AP;2
dal;E+RD;suo;AP;nome;S;2
suo;AP;nome;S;che;PR;2
in;E;realtà;S;il;RD;2
nome;S;di;E;un;RI;2
si;PC;dice;V;una;RI;2
una;RI;relazione;S;è;V;2
la;RD;relazione;S;studenti;S;2
tutte;T;le;RD;relazioni;S;2
le;RD;relazioni;S;hanno;V;2
dentro;B;una;RI;relazione;S;2
valori;S;che;PR;sono;VA;2
sono;VA;sullo;E+RD;stesso;A;2
stesso;A;dominio;S;quindi;B;2
due;N;relazioni;S;sono;VA;2
relazionale;A;il;RD;fatto;S;2
di;E;un;RI;attributo;S;2
un;RI;`;NO;altra;PI;2
nella;E+RD;relazione;S;studenti;S;2
nella;E+RD;relazione;S;esame;S;2
relazione;S;che;CS;sono;VA;2
che;CS;sono;VA;uguali;A;2
insieme;E;di;E;dati;S;2
molto;B;più;B;complicato;A;2
quali;B;sono;V;i;RD;2
ciò;PD;che;PR;vede;V;2
concetto;S;di;E;matricola;S;2
un;RI;concetto;S;che;CS;2
se;CS;il;RD;vostro;AP;2
una;RI;tabella;S;che;PR;2
la;RD;matricola;S;e;CC;2
un;RI;esempio;S;del;E+RD;2
comunque;B;ci;PC;sono;V;2
una;RI;relazione;S;a;E;2
nome;S;che;PR;è;V;2
attributo;S;ed;CC;è;VA;2
è;VA;finito;V;su;E;2
finito;V;su;E;un;RI;2
schema;S;di;E;una;RI;2
base;S;dati;S;è;V;2
dati;S;è;V;un;RI;2
quindi;B;una;RI;relazione;S;2
dello;E+RD;schema;S;di;E;2
una;RI;cosa;S;è;V;2
cosa;S;è;V;la;RD;2
è;V;chiaro;A;che;CS;2
chiaro;A;che;CS;se;CS;2
definiti;A;sullo;E+RD;stesso;A;2
non;BN;è;V;vero;A;2
definita;V;su;E;un;RI;2
è;V;un;RI;`;S;2
attributo;V;che;CS;si;PC;2
che;CS;si;PC;chiama;V;2
non;BN;è;V;il;RD;2
gli;RD;attributi;S;una;RI;2
un;RI;valore;S;del;E+RD;2
valore;S;del;E+RD;dominio;S;2
questa;PD;è;V;una;RI;2
il;RD;grado;S;di;E;2
relazione;S;di;E;grado;S;2
è;V;una;RI;relazione;S;2
la;RD;cardinalità;S;di;E;2
cardinalità;S;di;E;una;RI;2
queste;DD;due;N;relazioni;S;2
una;RI;relazione;S;può;VM;2
è;V;possibile;A;che;CS;2
per;E;ritornare;V;al;E+RD;2
ritornare;V;al;E+RD;concetto;S;2
una;RI;struttura;S;che;PR;2
righe;S;che;PR;sono;V;2
rappresentazione;S;di;E;una;RI;2
ciò;PD;che;PR;si;PC;2
ci;PC;torneremo;V;più;B;2
torneremo;V;più;B;avanti;B;2
un;RI;insieme;E;di;E;2
l'assenza;S;di;E;informazione;S;2
faccio;V;a;E;rappresentare;V;2
che;PR;non;BN;c;S;2
assenza;S;di;E;informazione;S;2
un;RI;`;NO;anagrafica;S;2
non;BN;hanno;V;un;RI;2
vi;PC;faccio;V;un;RI;2
faccio;V;un;RI;esempio;S;2
fin;E;da;E;subito;B;2
non;BN;si;PC;può;VM;2
a;E;tutte;T;le;RD;2
non;BN;posso;VM;mettere;V;2
non;BN;ci;PC;interessa;V;2
vi;PC;ricordate;V;che;CS;2
che;CS;vi;PC;ho;VA;2
ho;VA;detto;V;ogni;DI;2
detto;V;ogni;DI;modello;S;2
strutture;S;di;E;rappresentazione;S;2
la;RD;chiave;S;è;V;2
che;CS;la;RD;chiave;S;2
le;RD;strutture;S;di;E;2
una;RI;chiave;S;per;E;2
chiave;S;per;E;indicizzare;V;2
relazionale;A;la;RD;chiave;S;2
è;V;un;RI;derivato;S;2
di;E;attributi;S;che;PR;2
che;PR;vi;PC;ho;VA;2
vi;PC;ho;VA;appena;B;2
in;E;senso;S;stretto;A;2
super;A;chiave;S;per;E;2
vincolo;S;di;E;super;A;2
sullo;E+RD;schema;S;perché;CS;2
questo;DD;vincolo;S;non;BN;2
attributi;S;della;E+RD;super;A;2
che;CS;tutte;T;le;RD;2
tutte;T;le;RD;super;A;2
la;RD;relazione;S;la;RD;2
almeno;B;una;RI;chiave;S;2
chiave;S;esiste;V;sempre;B;2
relazione;S;costruita;V;in;E;2
